Name,Current price,Change(%),Open,High,Low,Volume
HEXO CORP.,1.64,30.16,1.28,1.92,1.24,9366432
AFFIRM HOLDINGS INC.,11.13,5.3,10.41,11.15,10.28,9345899
WESTERN DIGITAL,38.04,8.22,36.5,38.43,36.49,9191716
CANOPY GROWTH CORP.,1.6,1.27,1.56,1.63,1.55,9104214
FUELCELL ENERGY INC.,2.39,0.0,2.39,2.4,2.3,8702993
MARVELL TECHNOLOGY INC.,40.34,2.75,38.73,40.38,38.43,8696760
EOS ENERGY ENTERPRISES INC.,3.08,24.7,2.56,3.22,2.55,8126830
ROKU INC.,64.32,0.37,63.04,64.45,61.79,7988403
JD.COM INC. ADS,39.97,11.94,39.38,39.97,39.05,7750536
KALERA PUBLIC LTD.,2.69,28.71,2.15,3.44,2.11,7649320
PAYPAL HOLDINGS INC.,74.52,10.59,74.46,74.86,73.46,7591754
LUMINAR TECHNOLOGIES INC.,5.72,1.06,5.66,5.72,5.45,7484624
FIFTH THIRD BANCORP,26.29,0.81,26.0,26.45,25.78,7407717
SMX (SECURITY MATTERS) PUBLIC,1.59,89.29,0.82,1.61,0.8,7302876
GRAB HOLDINGS LTD.,3.06,0.99,3.0,3.11,2.99,7267748
PARAMOUNT GLOBAL,22.3,2.95,21.5,22.39,21.4,7207981
ELOXX PHARMACEUTICALS INC.,8.44,49.65,6.39,9.8,5.89,6889903
JETBLUE AIRWAYS,7.07,2.17,6.91,7.08,6.83,6857330
INOVIO PHARMACEUTICALS INC.,0.728,15.46,0.762,0.77,0.726,6829604
DRAFTKINGS INC.,18.34,0.99,17.95,18.39,17.88,6819131
KEURIG DR PEPPER INC.,35.23,11.15,35.5,35.51,35.1,6801811
PELOTON INTERACTIVE INC.,11.37,10.35,11.19,11.5,11.09,6681651
VISTAGEN THERAPEUTICS INC.,0.124,18.82,0.131,0.132,0.123,6619086
PACWEST BANCORP,10.02,3.19,9.53,10.03,9.36,6366829
SUNRUN INC.,19.22,3.44,18.45,19.25,18.3,6230685
ERICSSON ADS,5.89,0.17,5.85,5.89,5.78,6191661
ARDELYX INC.,4.26,13.18,4.4,4.4,4.19,6090164
ENOVIX CORP.,13.13,6.66,12.3,13.37,12.0,6058338
QURATE RETAIL INC. SERIES A,0.854,5.69,0.815,0.875,0.813,6023798
AMERICAN REBEL HLD.,0.184,25.17,0.169,0.208,0.159,6006257
UNITED AIRLINES HLD.,43.13,1.1,42.6,43.21,42.28,6000330
QUALTRICS INTERNATIONAL INC.,17.88,0.11,17.86,17.92,17.85,5959373
NOVAVAX INC.,8.0,15.44,8.56,8.57,7.63,5940804
FORTINET INC.,66.91,2.12,64.8,67.44,64.65,5934740
VIRIOS THERAPEUTICS INC.,0.547,31.49,0.447,0.624,0.43,5929573
NOVO INTEGRATED SCIENCES INC.,0.112,3.7,0.108,0.112,0.105,5914476
ROBINHOOD MARKETS INC.,9.98,10.3,9.93,10.0,9.65,5884941
APA CORP.,39.09,2.68,38.45,39.5,38.33,5791870
WALGREENS BOOTS ALLIANCE INC.,36.1,0.89,35.76,36.13,35.71,5640674
EBIX INC.,15.1,15.71,14.56,17.76,14.4,5603994
DISH NETWORK CORP.,8.86,1.03,8.71,8.92,8.63,5458358
AIRBNB INC.,112.6,2.65,108.69,112.63,108.4,5406420
QUALCOMM INC.,124.29,1.05,122.09,124.58,121.68,5243707
IOVANCE BIOTHERAPEUTICS INC.,5.58,15.9,5.88,5.89,5.33,5157655
PDD HOLDINGS INC. ADS,71.31,11.0,71.0,72.0,70.18,5138253
POWERBRIDGE TECHNOLOGIES CO.,0.092,1.1,0.09,0.094,0.09,5064731
EXELON CORP.,43.26,0.46,42.93,43.28,42.43,5005590
HOST HOTELS,16.27,1.18,16.03,16.32,15.97,4989756
T-MOBILE US INC.,149.99,0.25,149.15,150.0,147.88,4984464
MONDELEZ INTERNATIONAL INC.,70.53,10.73,70.72,70.81,69.75,4965525
ACTIVISION BLIZZARD INC,85.48,0.31,85.24,85.6,84.96,4948951
LI AUTO INC. ADS,23.63,10.17,23.4,23.7,23.27,4892352
DATADOG INC.,66.14,0.47,64.95,66.2,62.81,4889380
THE GOODYEAR TIRE & RUBBER CO.,10.83,4.84,10.3,10.88,10.27,4850242
BLUEBIRD BIO INC.,2.94,15.16,3.08,3.08,2.9,4612594
MARQETA INC.,4.43,2.55,4.3,4.47,4.27,4594309
PACIFIC BIOSCIENCES OF CALIFORNIA,10.95,10.09,10.73,11.02,10.58,4540873
BITFARMS LTD.,0.96,4.35,0.92,0.974,0.824,4537007
PAN AMERICAN SILVER,19.01,12.06,19.11,19.17,18.82,4526111
IQIYI INC. ADS,6.72,0.15,6.61,6.75,6.51,4507840
TERAWULF INC.,1.16,16.12,1.0,1.19,0.99,4491954
HERTZ GLOBAL HOLDINGS INC,15.9,4.88,15.02,15.93,15.01,4369098
CLOVER HEALTH INVESTMENTS,0.838,0.72,0.833,0.84,0.81,4328736
ON SEMICONDUCTOR,77.7,3.13,74.65,77.88,74.54,4284608
THE KRAFT HEINZ CO.,39.1,10.1,39.2,39.22,38.79,4284578
PLAYTIKA HOLDING,11.91,1.97,11.53,12.63,11.38,4235366
HARMONIC INC.,15.5,6.09,14.6,15.66,14.58,4203287
AGENUS INC.,1.39,16.08,1.47,1.48,1.35,4165946
VALLEY NATIONAL BANCORP,8.51,0.71,8.37,8.58,8.31,4139909
HYCROFT MINING HOLDING,0.462,11.07,0.456,0.468,0.438,4139776
APPLIED MATERIALS INC.,116.5,1.79,112.47,116.71,112.45,4096459
SABRE CORP.,4.28,3.63,4.08,4.29,4.06,4080234
ROCKET LAB USA INC.,4.0,6.1,3.73,4.01,3.72,4070698
ADVANTAGE SOLUTIONS INC.,1.49,15.7,1.56,1.63,1.47,4052868
PLAINS ALL AMERICAN PIPELINE L.P.,13.01,1.32,12.84,13.07,12.84,3991548
LORDSTOWN MOTORS,0.587,10.85,0.605,0.61,0.581,3972587
GEVO INC.,1.25,11.57,1.27,1.28,1.22,3966876
SIYATA MOBILE INC.,0.127,13.79,0.134,0.134,0.117,3959345
VINCO VENTURES INC.,0.245,16.49,0.257,0.26,0.244,3948284
IMPERIAL PETROLEUM INC.,0.211,0.0,0.215,0.215,0.202,3905809
INFLARX N.V.,4.95,110.0,5.94,5.96,4.86,3838136
OCUGEN INC.,0.752,14.08,0.79,0.798,0.75,3821812
STARBUCKS CORP.,104.74,0.06,103.54,104.82,103.07,3761576
ZIONS BANCORP.,29.87,1.63,29.13,30.09,28.7,3738598
NEKTAR THERAPEUTICS,0.843,6.57,0.79,0.87,0.76,3660746
CLEANSPARK INC.,2.71,11.07,2.42,2.72,2.38,3622063
CARDLYTICS INC.,6.02,0.84,5.79,6.27,5.56,3605068
MATCH GROUP INC.,35.67,10.14,35.43,35.88,34.81,3568800
HERON THERAPEUTICS INC.,2.42,6.14,2.38,2.47,2.2,3498796
SNDL INC.,1.55,2.65,1.5,1.58,1.48,3494117
TEXAS INSTRUMENTS INC.,179.42,0.73,176.95,179.73,176.21,3488605
VERSUS SYSTEMS INC.,0.618,19.54,0.568,0.66,0.541,3471406
META MATERIALS INC.,0.421,10.94,0.421,0.425,0.41,3468087
GILEAD SCIENCES INC.,82.6,10.92,83.5,83.5,82.32,3465548
VAXART INC.,0.628,114.79,0.725,0.73,0.62,3442787
BIONANO GENOMICS INC.,1.02,12.86,1.05,1.05,0.99,3428734
XP INC.,10.94,1.02,10.79,11.01,10.72,3408982
VBI VACCINES INC.,0.137,0.0,0.135,0.14,0.13,3394847
CTI BIOPHARMA CORP.,4.26,0.71,4.17,4.32,4.16,3332175
PROVENTION BIO INC.,24.44,0.66,24.27,24.47,24.24,3328883
THE TRADE DESK INC.,61.52,1.1,59.84,61.76,59.66,3286352
EBAY INC.,43.4,10.39,43.09,43.67,43.09,3279527
GERON CORP.,2.02,11.46,2.03,2.08,1.99,3260174
MELCO RESORTS & ENTERTAINMENT,12.85,1.74,12.47,13.05,12.47,3253647
WORKHORSE GROUP INC.,1.11,10.89,1.11,1.12,1.08,3250411
22ND CENTURY GROUP INC,0.64,110.62,0.724,0.73,0.63,3215116
IMMUNITYBIO INC.,1.58,13.66,1.66,1.67,1.52,3198750
EXELIXIS INC.,20.11,11.81,20.45,20.48,19.89,3190801
BIODEXA PHARMACEUTICALS PLC ADS,0.262,18.71,0.276,0.285,0.26,3190044
GENEDX HOLDINGS,0.31,15.49,0.334,0.34,0.305,3165496
COLUMBIA BANKING SYSTEM INC.,21.87,0.51,21.6,22.31,21.6,3161463
MICROCHIP TECHNOLOGY INC.,80.55,2.35,78.18,80.76,77.91,3132141
LIQUID MEDIA GROUP,0.18,131.3,0.19,0.206,0.17,3131366
BILIBILI INC. ADS,20.94,12.65,20.92,21.18,20.64,3075373
PETCO HEALTH AND WELLNESS CO.,9.06,5.47,8.53,9.1,8.53,3065950
BIT DIGITAL INC. ORD.,1.67,9.87,1.54,1.7,1.49,3054357
BAIDU INC. ADS,139.0,14.13,140.44,140.63,137.86,3039835
NEWELL BRANDS INC.,12.21,0.58,12.14,12.21,11.94,3031741
SUNPOWER CORP.,13.21,4.18,12.63,13.22,12.63,3002684
FASTENAL COMPANY,52.17,1.34,51.2,52.35,51.15,2994835
HEALTHCARE TRIANGLE INC.,0.33,2.8,0.361,0.4,0.29,2990794
UPSTART HOLDINGS INC.,17.18,1.18,16.69,17.25,16.43,2990628
ARES CAPITAL CORP.,17.94,10.55,18.0,18.14,17.67,2988292
SYNEOS HEALTH INC.,39.69,13.69,36.3,39.9,36.24,2965195
MANNKIND CORP.,3.95,14.82,4.14,4.14,3.95,2960060
IRONWOOD PHARMACEUTICALS INC.,10.73,11.38,10.91,10.93,10.57,2940931
AURORA CANNABIS INC.,0.66,0.76,0.65,0.666,0.64,2911822
BAKER HUGHES COMPANY,28.83,1.12,28.56,29.11,28.52,2904909
MOMENTIVE GLOBAL INC.,9.33,10.11,9.35,9.36,9.33,2895931
BGC PARTNERS INC.,4.38,11.35,4.4,4.45,4.32,2890473
SEMTECH CORP.,21.52,0.56,21.17,21.75,21.07,2888522
PANBELA THERAPEUTICS INC.,0.412,16.06,0.387,0.421,0.36,2841287
MONSTER BEVERAGE,52.35,10.4,52.28,52.44,51.3,2823212
LIVEONE INC.,1.4,18.64,1.18,1.56,1.17,2816060
ETSY INC.,103.04,10.98,103.64,104.36,101.66,2787294
ASTRAZENECA PLC ADS,72.07,10.37,72.2,72.2,71.17,2778076
WILLSCOT MOBILE MINI HLD.,40.49,0.47,40.27,41.68,40.25,2759556
STONECO LTD.,9.07,1.34,8.86,9.14,8.73,2756387
DOCUSIGN INC.,56.83,0.64,55.7,57.0,55.2,2755896
PATTERSON-UTI ENERGY INC.,12.25,2.0,12.0,12.42,11.94,2728072
MODERNA INC.,160.15,1.19,160.0,161.19,154.45,2726115
WENDY S CO.,21.7,10.05,21.67,21.76,21.53,2717757
AURINIA PHARMACEUTICALS INC,9.87,0.1,9.76,9.92,9.2,2709565
UNITI GROUP INC.,3.15,10.63,3.2,3.23,3.06,2692045
EXPEDIA GROUP INC.,89.81,12.06,90.81,92.39,89.72,2683090
CROWDSTRIKE HOLDINGS INC.,128.1,0.22,126.72,128.18,124.55,2673562
NETFLIX INC.,338.99,10.1,335.27,339.88,333.36,2657898
PAYONEER GLOBAL INC.,5.98,0.84,5.89,5.99,5.84,2650438
NOGIN INC.,1.77,14.32,1.72,1.83,1.65,2640602
SABRA HEALTH CARE REIT INC.,11.55,1.23,11.4,11.58,11.28,2638255
LESLIE S INC.,11.05,0.91,10.95,11.15,10.79,2618974
GEN DIGITAL INC.,17.31,0.23,17.1,17.33,17.05,2615223
OLAPLEX HOLDINGS INC.,4.16,0.0,4.13,4.24,4.09,2608661
DIAMONDBACK ENERGY INC.,143.19,1.88,142.25,146.12,142.25,2581158
ANALOG DEVICES INC.,190.95,2.02,185.63,191.21,185.01,2573572
PAYCHEX INC.,109.3,0.24,107.81,109.3,107.53,2573437
ZSCALER INC.,104.95,1.17,102.46,106.71,100.08,2559205
MONEYGRAM INTERNATIONAL INC.,10.56,10.38,10.58,10.59,10.54,2556996
ONCOCYTE CORP.,0.35,12.9,0.323,0.36,0.31,2549513
HONEYWELL INTERNATIONAL INC.,191.68,0.64,190.74,192.6,190.32,2540349
VODAFONE GROUP PLC ADS,11.37,0.35,11.28,11.4,11.26,2529834
STITCH FIX INC.,4.33,11.14,4.35,4.43,4.23,2526946
TRIPADVISOR INC.,18.97,10.32,18.81,19.1,18.71,2513717
HUB CYBER SECURITY,1.21,18.33,1.32,1.33,1.21,2508961
AMYRIS INC.,1.27,12.31,1.28,1.31,1.25,2502428
BRIDGEBIO PHARMA INC.,15.05,13.59,15.34,15.53,14.83,2500459
CAESARS ENTERTAINMENT INC.,45.47,0.4,44.83,45.77,44.3,2497869
KARYOPHARM THERAPEUTICS INC.,3.89,15.12,4.05,4.09,3.83,2489527
MATTEL INC.,17.73,1.14,17.45,17.82,17.41,2489301
VIKING THERAPEUTICS INC.,16.94,1.56,16.59,17.17,16.16,2472339
SHOALS TECHNOLOGIES GROUP INC.,21.81,1.07,21.38,22.04,21.24,2449825
DIVERSEY HOLDINGS,8.14,0.37,8.11,8.19,8.11,2443755
OPKO HEALTH INC.,1.47,0.68,1.45,1.51,1.45,2427657
NETAPP INC.,65.05,3.25,64.32,65.75,63.89,2418721
PEPSICO INC.,183.2,10.63,183.83,183.9,181.69,2408256
RIGEL PHARMACEUTICALS INC.,1.23,11.6,1.25,1.27,1.2,2378665
FATE THERAPEUTICS INC.,5.48,16.32,5.81,5.81,5.45,2361952
KINGSOFT CLOUD HOLDINGS,7.69,15.3,7.86,7.92,7.37,2361041
POLESTAR AUTOMOTIVE HOLDING UK,3.6,6.19,3.37,3.61,3.32,2355456
FOX CORP.,33.93,1.43,33.31,34.0,33.31,2343643
APPHARVEST INC.,0.507,11.55,0.52,0.52,0.5,2322726
SEAGATE TECHNOLOGY HLD.,66.35,3.03,64.37,66.83,64.29,2317288
SUMMIT THERAPEUTICS INC.,1.53,0.0,1.58,1.64,1.52,2314364
ALTAMIRA THERAPEUTICS,2.07,12.5,1.89,2.46,1.65,2310255
PALO ALTO NETWORKS INC.,192.62,0.36,190.1,193.71,188.83,2275918
ALLOGENE THERAPEUTICS INC.,4.53,17.36,4.91,4.92,4.42,2274873
PYXIS ONCOLOGY INC.,3.85,10.26,4.06,4.22,3.65,2273635
CARGURUS INC.,17.41,1.04,16.95,17.51,16.89,2271130
APPLOVIN CORP.,15.86,0.89,15.45,15.91,15.26,2247541
COMMSCOPE HOLDING CO.,5.84,10.34,5.8,5.94,5.7,2244321
CATALYST PHARMACEUTICALS INC.,17.26,10.69,17.3,17.42,16.78,2225466
TRIP.COM GROUP LTD.,37.8,0.43,37.44,38.01,37.23,2225258
DUCK CREEK TECHNOLOGIES INC.,18.99,0.0,18.99,19.0,18.99,2222779
NEWMARK GROUP INC.,6.76,15.06,6.95,6.95,6.59,2217688
COSTAR GROUP INC.,68.82,0.67,67.99,69.0,67.22,2182296
CADENCE DESIGN SYSTEMS INC.,213.61,2.44,207.24,214.13,207.02,2167876
KANZHUN LTD.,18.6,10.53,18.48,19.1,18.48,2152377
ZOOM VIDEO COMMUNICATIONS INC.,71.17,10.95,71.18,71.33,69.66,2136990
SUMO LOGIC INC.,11.99,0.25,11.95,11.99,11.95,2116437
ARRAY TECHNOLOGIES INC.,20.21,2.95,19.51,20.27,19.4,2114368
FLEX,21.56,0.98,21.17,21.69,21.1,2112276
AMRYT PHARMA PLC ADS,14.69,0.62,14.61,14.74,14.61,2099750
IMMUNOGEN INC.,3.86,14.93,4.06,4.1,3.86,2098043
REVANCE THERAPEUTICS INC.,31.47,17.52,33.77,33.85,30.23,2092957
PLAINS GP HLD.,13.68,0.96,13.61,13.8,13.61,2068263
ADMA BIOLOGICS INC,3.3,12.08,3.33,3.34,3.24,2058046
MATTERPORT INC.,2.79,2.57,2.67,2.79,2.63,2055122
GITLAB INC.,33.58,0.54,32.95,33.69,32.32,2051792
ZOOMINFO TECHNOLOGIES INC.,23.08,10.13,22.6,23.31,22.6,2050149
CANAAN INC. ADS,2.59,4.02,2.5,2.62,2.4,2048048
INMODE,34.51,4.45,32.88,34.8,32.7,2047903
THE CARLYLE GROUP INC.,29.59,1.27,28.92,29.69,28.92,2046768
CIDARA THERAPEUTICS INC.,1.11,17.5,1.15,1.17,1.07,2044462
THE CHEESECAKE FACTORY INC.,34.42,2.62,33.69,34.53,33.54,2039378
SANGAMO THERAPEUTICS INC.,1.49,18.59,1.62,1.63,1.48,2028608
CIPHER MINING INC.,2.54,9.01,2.33,2.63,2.24,2020410
NATIONAL VISION HLD.,19.94,4.34,18.93,19.97,18.81,2003333
PLAYA HOTELS & RESORTS N.V.,9.11,1.45,8.91,9.17,8.91,2003089
CYXTERA TECHNOLOGIES INC.,0.358,0.0,0.37,0.38,0.324,1998262
SEAGEN INC.,204.7,10.41,204.52,205.05,203.49,1990048
ENPHASE ENERGY INC.,195.8,2.51,189.09,195.9,188.51,1978576
AMERICAN ELECTRIC POWER CO.,94.44,10.47,94.51,94.75,93.38,1977375
DROPBOX INC.,21.08,10.8,21.12,21.12,20.86,1976921
2U INC.,5.36,19.92,5.86,5.86,5.2,1969000
ADAMIS PHARMACEUTICALS,0.1,0.0,0.1,0.1,0.1,1964563
ALTIMMUNE INC.,4.04,0.75,4.0,4.1,3.86,1960441
OKTA INC.,78.01,12.44,78.87,78.98,76.6,1957922
FTC SOLAR INC.,2.52,4.56,2.46,2.53,2.38,1925801
ESPERION THERAPEUTICS INC.,1.37,0.74,1.35,1.38,1.27,1914748
VERTEX ENERGY INC,8.92,6.7,8.32,8.92,8.28,1912014
TRITIUM DCFC LTD.,1.07,13.6,1.12,1.12,1.03,1911549
LIBERTY MEDIA CORP.,28.82,2.34,28.0,28.89,27.96,1909645
ORBITAL INFRASTRUCTURE GROUP,0.108,17.69,0.116,0.119,0.104,1899842
NANO DIMENSION,2.55,0.0,2.6,2.62,2.48,1898597
WYNN RESORTS LTD.,109.92,0.73,108.52,110.89,108.47,1880870
AMICUS THERAPEUTICS INC.,11.08,11.25,11.16,11.23,10.98,1872654
DEXCOM INC.,112.53,0.05,112.52,113.07,110.9,1871285
BALLARD POWER SYSTEMS INC.,5.02,1.62,4.9,5.03,4.85,1871136
DLOCAL LTD.,14.19,5.35,13.33,14.26,13.24,1868975
BIOCRYST PHARMACEUTICALS INC.,8.52,11.84,8.61,8.8,8.37,1862880
MICROVAST HOLDINGS INC.,1.31,7.38,1.25,1.35,1.22,1860786
VERU INC.,1.0,15.66,1.05,1.05,0.99,1856669
ALTRA INDUSTRIAL MOTION,61.98,0.0,61.99,62.01,61.98,1844123
DENTSPLY SIRONA INC.,39.78,0.61,39.31,39.86,39.22,1837984
ATLASSIAN CORP.,158.92,0.24,155.61,159.25,147.96,1836490
BLINK CHARGING CO.,7.8,4.42,7.42,7.83,7.33,1813225
RADIUS GLOBAL INFRASTRUCTURE,14.67,10.27,14.66,14.69,14.63,1806551
IVERIC BIO INC.,27.24,0.63,26.88,27.41,26.1,1805891
EVERGY INC.,62.84,10.71,63.02,63.02,61.93,1798220
COGNIZANT TECHNOLOGY SOLUTIONS,61.11,1.14,60.08,61.13,59.85,1791378
PACCAR INC.,69.68,1.74,68.29,69.7,68.1,1790751
TERADYNE INC.,102.73,2.33,99.39,102.78,99.01,1788774
SERES THERAPEUTICS INC.,5.67,11.73,5.79,5.81,5.6,1782465
CYMABAY THERAPEUTICS INC.,9.0,2.74,8.73,9.02,8.66,1770037
MICROVISION INC.,2.43,10.82,2.43,2.45,2.32,1759085
HASHICORP INC.,27.78,4.24,26.25,27.84,26.04,1757537
FISERV INC.,113.71,0.62,112.55,113.75,112.35,1749104
NXP SEMICONDUCTORS N.V.,172.41,1.36,168.82,172.52,168.05,1746474
SERVICE PROPERTIES TRUST SHARES OF BENE,9.69,10.41,9.73,9.84,9.56,1746352
BULLFROG AI HOLDINGS INC.,4.66,14.7,4.93,5.65,4.64,1733291
SANOFI ADS,54.99,11.68,55.38,55.52,54.61,1732644
BUMBLE INC.,18.67,0.38,18.3,18.68,18.14,1730264
AUDIOCODES,11.31,121.29,12.9,13.0,11.02,1724015
TUSIMPLE HOLDINGS INC.,1.31,4.8,1.28,1.32,1.22,1722707
XCEL ENERGY INC.,70.76,10.72,70.89,70.98,69.75,1722523
FOCUS FINANCIAL PARTNERS INC.,52.06,0.33,51.81,52.08,51.81,1718117
ROSS STORES INC.,106.64,0.4,105.74,107.22,105.61,1716786
PROTERRA INC,1.26,1.61,1.28,1.3,1.21,1716267
SCYNEXIS INC.,3.3,14.9,3.43,3.47,3.11,1712525
SKYWORKS SOLUTIONS INC.,111.79,0.4,110.0,112.25,110.0,1701135
DOLLAR TREE INC.,152.93,2.61,148.17,153.47,148.17,1698148
ADOBE INC.,376.25,11.14,375.48,376.67,372.26,1689674
ORGANIGRAM HOLDINGS INC.,0.688,10.97,0.623,0.69,0.619,1674790
OLD NATIONAL BANCORP,13.84,10.43,13.77,14.05,13.73,1667520
ROIVANT SCIENCES,7.38,0.0,7.39,7.45,7.24,1665851
JOWELL GLOBAL,0.285,15.0,0.268,0.31,0.252,1663671
R1 RCM INC.,14.96,1.77,14.62,15.11,14.52,1660986
APOLLO ENDOSURGERY INC.,10.0,0.0,9.93,10.0,9.92,1658846
COHERUS BIOSCIENCES INC.,7.84,2.35,7.67,7.94,7.63,1658613
CYTOKINETICS INC.,34.99,13.93,36.15,36.42,34.61,1655857
COSTCO WHOLESALE,493.83,1.62,483.9,493.9,481.66,1653593
CUTERA INC.,23.83,1.02,23.79,24.69,21.99,1652387
DAVE & BUSTER S ENTERTAINMENT,34.83,2.5,33.85,35.21,33.81,1643352
NASDAQ INC.,54.38,10.95,54.44,54.72,53.97,1641222
EDITAS MEDICINE INC.,6.63,14.19,6.85,6.87,6.45,1631363
APELLIS PHARMACEUTICALS INC.,78.89,0.14,78.21,78.99,76.9,1628311
HIVE BLOCKCHAIN TECHNOLOGIES,3.51,8.67,3.16,3.53,3.1,1625216
CLEAN ENERGY FUELS,4.47,2.29,4.35,4.5,4.33,1613762
EHANG HOLDINGS LTD.,10.06,8.99,9.5,11.04,9.5,1606374
FRONTIER GROUP HLD.,9.75,2.96,9.46,9.85,9.46,1597686
AMGEN INC.,250.9,10.96,256.44,256.44,250.05,1595594
COMPASS THERAPEUTICS INC.,3.44,2.38,3.35,3.54,3.32,1592415
NATERA INC.,51.47,10.85,51.59,52.24,50.76,1591496
CONFLUENT INC.,23.44,1.03,22.81,23.62,22.3,1581625
ARCH CAPITAL GROUP,68.65,10.42,68.9,68.9,68.31,1581189
INTERCEPT PHARMACEUTICALS INC.,15.2,14.98,13.62,15.38,13.48,1579526
GE HEALTHCARE TECHNOLOGIES,80.59,0.54,79.93,80.63,79.7,1579274
LIVEPERSON INC.,4.68,4.46,4.48,4.71,4.47,1557778
AKAMAI TECHNOLOGIES INC.,78.23,10.87,78.38,78.63,77.51,1551087
RAMBUS INC.,49.96,2.82,48.2,50.5,48.0,1550346
LATTICE SEMICONDUCTOR,91.44,2.56,88.67,91.76,87.76,1541278
BROADCOM INC.,627.39,0.76,618.05,627.87,616.45,1540174
INNOVIZ TECHNOLOGIES,3.08,1.65,3.0,3.1,2.92,1534628
ABCELLERA BIOLOGICS INC.,7.2,10.55,7.2,7.24,7.07,1533186
PORCH GROUP INC.,1.31,14.38,1.35,1.35,1.21,1531332
NEOGEN CORP.,17.3,1.11,17.0,17.31,16.85,1531291
